Area,Price
1300.236407,55
1275,51
933.1597222,43
929.9211427,62.5
999.009247,60.5
1250,42
1495.053957,66.5
1181.012946,52
1040,41.6
879.1208791,36
1350.308642,35
1333.010179,110
927.1779023,48
1122.171946,62
649.9837504,20
1394.117647,71.1
1800.08471,85
2124.896706,180
1100,22
2178.649237,120
881.1435285,45
944.8818898,42
1310.147689,55
630.00063,300
1219.80971,50
780.141844,27.5
1600,46
1180.412371,22.9
1000,39
1000,12.5
1400.107701,52
943.1266076,33
1150.146382,55
864.0674394,82
857.7861968,240
1174.210077,55
1020.087884,65
1650.165017,65
1000,35
1300.052002,75
40606.19568,9110
1058.114928,65
400,30
1274.924779,250
1026.694045,220
1150.121065,38
1200,60
475.0103263,46
301.9171163,26.3
1228.571429,51.6
986.0164934,55
1972.565158,71.9
420.6166888,130
1275.009808,32.5
406.024219,39.9
1862.562189,59.9
950.0146156,65
5200.945626,110
1049.969344,68.5
1615.008157,99
1150.0069,250
1100,27.5
906.2661833,70
1454.333915,50
1591.994542,70
573.8769151,22.1
1038.883942,280
1538.141758,74
5000,85
1602.084012,49.2
1200,45
760.07094,60
739.8273736,30
1260.02291,33
1100.151745,29
2293.077091,210
1146.480331,88.6
2224.059764,780
759.8784195,30
2260.251857,140
767.0182167,240
2500,160
2286.236854,100
1150.086256,60
1004.932182,81.5
800,34
993.75,31.8
1298.139334,30
996.797438,24.9
985.0194952,48
1118.75,53.7
889.8305085,42
2738.22563,150
1725.490196,440
2488.004265,140
1200.082764,58
1584.283904,100
900,18
1193.440032,60.4
1487.357462,30
989.9029895,50
1155.020213,140
949.893137,80
875,49
853.3611982,24.5
483.0917874,18
800,95
802.0415603,22
610.0660905,48
1680.107527,75
1150.136038,93
1550.114497,88
1699.834163,82
1600.170685,75
600.0566091,21.2
1429.200617,64.9
1115.137998,80
2750.929368,74
1811.196487,99
1045.036079,42
3433.996566,340
1298.219585,70
1109.165207,38
1304.034182,470
1041.195111,46
2135.748916,83.7
1850.180505,82
1665.080875,70
398.2621289,11
1005.025126,48
4900.959771,240
1294.016156,330
1536.806516,100
1123.188406,62
800.1939864,16.5
2655.807365,300
1513.775356,100
1280,48
410.0678733,14.5
3429.355281,100
890.0451869,65
977.7082519,25
1099.855282,38
1050.241272,37
1400.241838,57.9
1740.139211,180
1149.131767,180
650.1950585,20
1355.01355,85
1800.072003,150
907.6305221,33.9
1636.296021,88
900.2520706,25
1318.044023,100
1949.586451,99
1643.36522,67
1233.045623,210
655.0802139,49
1180.173092,75
1200.087279,55
6974.645114,1700
2700.075602,250
850.0991782,30
2636.296531,250
900.0163639,55
2472.952087,160
904.0656205,50.7
265.0033933,82
1570.306924,110
955.4140127,150
1000,60
2494.747899,95
1150.130348,75
1210.136674,85
1365.001365,200
499.6366279,110
1050.144395,40
476.0204689,40
985.452839,21
1045.296167,24
1301.89498,90
2000,38
4465.709729,280
1192,59.6
1846.153846,120
448.5310608,120
750.0604887,31
1060.070671,72
1415.09434,79.5
1160.062565,89
1690.024732,410
1672.762741,68.6
1315.265046,33
650.026001,50
540.1755571,16
1830.065359,98
1575.157516,70
1530,76.5
619.6377502,26
2200,110
1757.188498,77
1087.885617,140
1199.862873,70
1265.035255,61
676.0453302,17.3
800,42
750.0750075,25
1500,150
1814.285714,88.9
1195.652174,110
1395.032324,41
850.1594049,24
909.4339623,48.2
910.0937672,33
1850.070303,250
2069.857697,160
820.0082001,140
1241.80752,36
1014.120668,79
2302.158273,160
900.0782677,69
898.5074627,30.1
2235.294118,190
1350,81
1100.110011,70
612.1199755,30
1100.352113,25
5194.805195,400
1475.256769,79
2780.191138,160
300.0260892,11.5
1000,50
1532.720245,230
995.8314034,21.5
1646.706587,110
2350.965575,56
534.061239,45
1100,110
1968.888889,88.6
2196.354052,100
2400,300
1650.252861,62
632.0572845,45.9
1034.965035,37
965.0439631,90
600.5495224,45.9
984.8484848,130
1700.060716,420
546.0145604,58.5
1195.499297,17
1677.468547,220
1699.716714,48
1075.027996,48
485.790072,64.1
929.8998569,52
1438.021283,600
5299.954894,470
1020.181859,46
1070.135002,65
2400.384061,50
1767.388826,77.5
524,26.2
923.7875289,120
1657.275439,100
680,170
1100.478469,23
1701.694915,50.2
451.0309278,14
2727.856226,85
1000,30
1790.18976,100
1100.352113,25
1232.162459,44.9
497.988891,26
1726.017442,95
1320.052802,110
990.0990099,25
675.0441375,65
674.0361283,25
775.1114886,36.5
718.1042049,180
3200,180
945.1795841,30
1089.028042,160
942.1518749,50
1370,82.2
1265.111049,90
1394.31121,100
800,27
1505.144771,62.9
1067.270375,33
1400.059577,94
728.9473684,27.7
1293.103448,37.5
106469.0027,9480
2939.624633,390
1431.068385,65.5
1350.063532,85
750.1630789,23
1170.074459,99
1121.076233,45
1904.761905,100
7054.132802,460
950.0285009,150
969.9321048,40
636.0078278,52
4578.507945,340
700.0259269,27
1859.637775,230
1700.186606,82
1847.187238,110
509.5541401,40
1427.424391,160
715.0518413,20
1393.214227,85
900.3215434,22.4
1000,120
800,35
445.0304928,54
1125.175809,56
1015.113918,90
1200.417537,23
1060.147122,49
1654.846336,70
1175.121811,41
412.0213282,8.5
1877.435352,53
1150.121065,38
910.0529101,43
1080,32.4
1902.843071,170
850.4606662,12
1051.223242,110
945.0617925,91
570.0958798,22
1050.070432,82
1785.060417,390
800,35
750.0551511,34
1129.908619,91.5
2857.142857,120
896.6801117,28.9
900.116144,31
1870.32419,75
1288.102262,78.6
2461.538462,160
1066.408143,22
4299.996417,1200
816.8491699,370
1261.625556,31.2
1160.092807,45
828.7063893,100
2015.021066,110
2765.784114,67.9
790.0334245,26
1358.024691,110
850.1594049,24
1115.075825,100
406.3088686,110
1080.080235,70
3621.234302,470
10050.25126,1200
1150.0069,250
2489.40678,94
1894.179894,53.7
4000,140
1269.146608,40.6
3458.366587,260
835.2668213,25.2
1185.146168,90
1289.872756,74
2100,210
3167.898627,150
433333.3333,65
845.007783,38
850,27.2
923.0100988,85
1490.312966,60
1480.019734,60
1510.159253,110
453.0166793,66
999.6079969,25.5
1000,30
1350.135014,60
1231.578947,46.8
829.8850575,36.1
1069.782752,32.5
610.0273241,96
2030.205496,82
978.7377658,29
1503.225806,46.6
804.8649615,45
1400.051854,54
1251.091068,43
1850.424056,48
711.0877008,27
540.0540054,24
748,18.7
1166.039111,96
943.057302,210
